Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# AAs,MW [kDa],calc. pI
Q3UQ28,Peroxidasin homolog OS=Mus musculus GN=Pxdn PE=2 SV=2 - [PXDN_MOUSE],7.12%,1,8,8,9,1475,165,7.14
P35288,Ras-related protein Rab-23 OS=Mus musculus GN=Rab23 PE=1 SV=2 - [RAB23_MOUSE],45.15%,3,9,9,33,237,26.7,6.79
Q8R0F5,"RNA-binding motif protein, X-linked 2 OS=Mus musculus GN=Rbmx2 PE=1 SV=1 - [RBMX2_MOUSE]",8.28%,1,2,2,3,326,37.5,9.72
Q8CFE3,REST corepressor 1 OS=Mus musculus GN=Rcor1 PE=1 SV=2 - [RCOR1_MOUSE],24.11%,2,7,8,17,477,52.5,7.03
Q8R323,Replication factor C subunit 3 OS=Mus musculus GN=Rfc3 PE=2 SV=1 - [RFC3_MOUSE],17.70%,1,5,5,12,356,40.5,8.38
Q99PG4,Regulator of G-protein signaling 18 OS=Mus musculus GN=Rgs18 PE=2 SV=1 - [RGS18_MOUSE],3.40%,1,1,1,13,235,27.6,8.48
Q5SSM3,Rho GTPase-activating protein 44 OS=Mus musculus GN=Arhgap44 PE=1 SV=1 - [RHG44_MOUSE],18.55%,2,11,12,41,814,88.9,6.6
Q8R1Z9,RING finger protein 121 OS=Mus musculus GN=Rnf121 PE=2 SV=1 - [RN121_MOUSE],9.48%,3,3,3,12,327,38,7.06
Q9CWS1,E3 ubiquitin-protein ligase RNF135 OS=Mus musculus GN=Rnf135 PE=2 SV=1 - [RN135_MOUSE],3.60%,1,1,1,2,417,46.4,6.6
Q8BH75,E3 ubiquitin-protein ligase NRDP1 OS=Mus musculus GN=Rnf41 PE=1 SV=1 - [RNF41_MOUSE],5.05%,1,2,2,4,317,35.9,6.14
Q91YK2,Ribosomal RNA processing protein 1 homolog B OS=Mus musculus GN=Rrp1b PE=1 SV=2 - [RRP1B_MOUSE],7.60%,1,4,4,8,724,80.5,9.72
Q80T69,Round spermatid basic protein 1 OS=Mus musculus GN=Rsbn1 PE=1 SV=3 - [RSBN1_MOUSE],12.96%,2,8,8,11,795,89.2,8.65
Q149F1,RNA pseudouridylate synthase domain-containing protein 2 OS=Mus musculus GN=Rpusd2 PE=2 SV=2 - [RUSD2_MOUSE],7.23%,1,3,3,4,553,61.5,6.77
Q8CCI5,RING1 and YY1-binding protein OS=Mus musculus GN=Rybp PE=1 SV=1 - [RYBP_MOUSE],25.44%,1,3,4,14,228,24.8,9.63
O35488,Very long-chain acyl-CoA synthetase OS=Mus musculus GN=Slc27a2 PE=1 SV=2 - [S27A2_MOUSE],3.39%,1,1,1,1,620,70.4,8.9
Q9D8F3,"Solute carrier family 52, riboflavin transporter, member 2 OS=Mus musculus GN=Slc52a2 PE=2 SV=1 - [S52A2_MOUSE]",7.78%,1,1,1,1,450,46.8,7.52
Q8C8N2,Protein SCAI OS=Mus musculus GN=Scai PE=1 SV=2 - [SCAI_MOUSE],13.37%,1,8,8,11,606,70.2,8.6
P43407,Syndecan-2 OS=Mus musculus GN=Sdc2 PE=1 SV=1 - [SDC2_MOUSE],4.95%,1,1,1,3,202,22.1,4.58
Q6QD59,Vesicle transport protein SEC20 OS=Mus musculus GN=Bnip1 PE=2 SV=1 - [SEC20_MOUSE],32.89%,4,6,6,14,228,26.2,8.75
Q9BCZ4,Selenoprotein S OS=Mus musculus GN=Vimp PE=2 SV=3 - [SELS_MOUSE],42.63%,1,7,8,20,190,21.5,9.39
Q8R3W5,tRNA-splicing endonuclease subunit Sen15 OS=Mus musculus GN=Tsen15 PE=2 SV=1 - [SEN15_MOUSE],10.71%,1,1,1,6,168,18.5,4.65
Q8BHJ6,Serine incorporator 5 OS=Mus musculus GN=Serinc5 PE=2 SV=1 - [SERC5_MOUSE],5.42%,1,3,3,4,461,51.8,8.07
Q8VD57,Vesicle transport protein SFT2B OS=Mus musculus GN=Sft2d2 PE=1 SV=1 - [SFT2B_MOUSE],16.98%,1,2,2,8,159,17.5,9.09
Q91WA6,Sharpin OS=Mus musculus GN=Sharpin PE=1 SV=1 - [SHRPN_MOUSE],10.00%,2,2,3,6,380,39.8,5.76
Q9EPK6,Nucleotide exchange factor SIL1 OS=Mus musculus GN=Sil1 PE=1 SV=2 - [SIL1_MOUSE],16.56%,1,6,6,15,465,52.4,5.27
Q9DB90,Protein SMG9 OS=Mus musculus GN=Smg9 PE=2 SV=1 - [SMG9_MOUSE],16.92%,2,5,5,6,520,57.6,7.01
Q8C0X8,Sperm motility kinase X OS=Mus musculus PE=2 SV=1 - [SMKX_MOUSE],3.75%,3,1,2,7,640,71.9,8.57
Q8K194,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein OS=Mus musculus GN=Snrnp27 PE=2 SV=1 - [SNR27_MOUSE],22.58%,1,3,3,12,155,18.9,11.62
O70494,Transcription factor Sp3 OS=Mus musculus GN=Sp3 PE=1 SV=2 - [SP3_MOUSE],6.77%,1,4,4,12,783,82.3,5.26
Q9ESX2,Transcription factor Sp6 OS=Mus musculus GN=Sp6 PE=2 SV=2 - [SP6_MOUSE],2.39%,1,1,1,1,376,40,7.25
Q99MY0,Spermatogenic leucine zipper protein 1 OS=Mus musculus GN=Spz1 PE=1 SV=1 - [SPZ1_MOUSE],2.38%,1,1,1,1,378,43.1,8.81
Q9CZ91,Serum response factor-binding protein 1 OS=Mus musculus GN=Srfbp1 PE=1 SV=1 - [SRFB1_MOUSE],6.12%,1,2,2,6,441,48.7,9.54
P16254,Signal recognition particle 14 kDa protein OS=Mus musculus GN=Srp14 PE=1 SV=1 - [SRP14_MOUSE],35.45%,2,6,6,18,110,12.5,10.17
Q9DCF9,Translocon-associated protein subunit gamma OS=Mus musculus GN=Ssr3 PE=1 SV=1 - [SSRG_MOUSE],20.00%,1,5,5,41,185,21.1,9.61
Q924W7,Suppression of tumorigenicity 5 protein OS=Mus musculus GN=St5 PE=2 SV=1 - [ST5_MOUSE],1.76%,1,1,2,4,1134,126.8,9.11
Q8R3F9,Speckle targeted PIP5K1A-regulated poly(A) polymerase OS=Mus musculus GN=Tut1 PE=1 SV=1 - [STPAP_MOUSE],5.52%,1,2,2,3,869,94.5,5.81
O09117,Synaptophysin-like protein 1 OS=Mus musculus GN=Sypl1 PE=1 SV=2 - [SYPL1_MOUSE],13.79%,2,3,3,36,261,28.9,8.79
Q80ZM7,Transcription initiation factor IIA subunit 2 OS=Mus musculus GN=Gtf2a2 PE=2 SV=2 - [T2AG_MOUSE],31.19%,6,5,5,18,109,12.5,6.62
Q8BGV3,Tumor-associated calcium signal transducer 2 OS=Mus musculus GN=Tacstd2 PE=2 SV=1 - [TACD2_MOUSE],23.34%,1,5,5,7,317,35.6,8.6
Q9EQH4,Transcription initiation factor TFIID subunit 8 OS=Mus musculus GN=Taf8 PE=2 SV=1 - [TAF8_MOUSE],5.19%,1,1,1,3,308,34,6.46
Q91VL8,Telomeric repeat-binding factor 2-interacting protein 1 OS=Mus musculus GN=Terf2ip PE=1 SV=1 - [TE2IP_MOUSE],30.79%,1,8,8,17,393,43.3,4.81
O08523,Alpha-tectorin OS=Mus musculus GN=Tecta PE=1 SV=2 - [TECTA_MOUSE],0.32%,1,1,1,1,2155,239.3,5.35
O88393,Transforming growth factor beta receptor type 3 OS=Mus musculus GN=Tgfbr3 PE=1 SV=1 - [TGBR3_MOUSE],5.18%,1,2,2,3,850,93.8,6
Q9Z0V7,Mitochondrial import inner membrane translocase subunit Tim17-B OS=Mus musculus GN=Timm17b PE=2 SV=1 - [TI17B_MOUSE],17.44%,1,2,2,6,172,18.3,9.03
P62077,Mitochondrial import inner membrane translocase subunit Tim8 B OS=Mus musculus GN=Timm8b PE=3 SV=1 - [TIM8B_MOUSE],22.89%,1,2,2,7,83,9.3,5.12
Q9WUH1,Transmembrane protein 115 OS=Mus musculus GN=Tmem115 PE=1 SV=1 - [TM115_MOUSE],11.43%,1,3,3,6,350,38.1,7.5
P52875,Transmembrane protein 165 OS=Mus musculus GN=Tmem165 PE=2 SV=2 - [TM165_MOUSE],22.91%,2,5,5,17,323,34.8,7.46
Q8CIB6,Transmembrane protein 230 OS=Mus musculus GN=Tmem230 PE=1 SV=1 - [TM230_MOUSE],9.17%,1,1,1,6,120,13.2,9.31
B1AZA5,Transmembrane protein 245 OS=Mus musculus GN=Tmem245 PE=1 SV=1 - [TM245_MOUSE],9.82%,3,7,7,18,876,97.3,8.75
Q5FWI3,Transmembrane protein 2 OS=Mus musculus GN=Tmem2 PE=1 SV=1 - [TMEM2_MOUSE],9.69%,1,10,10,11,1383,153.7,7.78
Q91W52,Transmembrane protein 19 OS=Mus musculus GN=Tmem19 PE=2 SV=1 - [TMM19_MOUSE],3.87%,1,1,1,6,336,36.3,7.72
B1AXP6,Mitochondrial import receptor subunit TOM5 homolog OS=Mus musculus GN=Tomm5 PE=3 SV=1 - [TOM5_MOUSE],13.73%,1,1,1,1,51,6,9.6
Q9CQN3,Mitochondrial import receptor subunit TOM6 homolog OS=Mus musculus GN=Tomm6 PE=3 SV=1 - [TOM6_MOUSE],18.92%,1,1,1,4,74,7.9,4.89
Q9JME7,Trafficking protein particle complex subunit 2-like protein OS=Mus musculus GN=Trappc2l PE=2 SV=1 - [TPC2L_MOUSE],55.40%,1,6,6,8,139,16,6.77
Q924Z5,Translocating chain-associated membrane protein 2 OS=Mus musculus GN=Tram2 PE=1 SV=1 - [TRAM2_MOUSE],5.68%,1,2,2,6,370,43.2,9.39
Q8R4D5,Transient receptor potential cation channel subfamily M member 8 OS=Mus musculus GN=Trpm8 PE=1 SV=3 - [TRPM8_MOUSE],1.18%,1,1,1,1,1104,127.6,6.92
Q8QZY6,Tetraspanin-14 OS=Mus musculus GN=Tspan14 PE=1 SV=1 - [TSN14_MOUSE],18.89%,1,4,4,11,270,30.7,6.51
Q9CQ88,Tetraspanin-31 OS=Mus musculus GN=Tspan31 PE=1 SV=1 - [TSN31_MOUSE],10.48%,1,2,2,3,210,22.7,8.44
Q8R3G9,Tetraspanin-8 OS=Mus musculus GN=Tspan8 PE=2 SV=1 - [TSN8_MOUSE],27.23%,1,4,4,32,235,25.6,5.16
Q91WM3,U3 small nucleolar RNA-interacting protein 2 OS=Mus musculus GN=Rrp9 PE=1 SV=1 - [U3IP2_MOUSE],18.32%,1,8,8,24,475,52.1,7.88
P52482,Ubiquitin-conjugating enzyme E2 E1 OS=Mus musculus GN=Ube2e1 PE=2 SV=1 - [UB2E1_MOUSE],28.50%,4,1,4,12,193,21.3,8.53
Q8VDF2,E3 ubiquitin-protein ligase UHRF1 OS=Mus musculus GN=Uhrf1 PE=1 SV=2 - [UHRF1_MOUSE],1.41%,1,1,1,2,782,88.2,8.31
Q8BL48,RING finger protein unkempt homolog OS=Mus musculus GN=Unk PE=2 SV=1 - [UNK_MOUSE],19.38%,6,12,13,24,810,88,6.87
Q9CZJ1,Probable U3 small nucleolar RNA-associated protein 11 OS=Mus musculus GN=Utp11l PE=2 SV=1 - [UTP11_MOUSE],20.55%,1,3,5,14,253,30.5,10.26
Q9Z2P8,Vesicle-associated membrane protein 5 OS=Mus musculus GN=Vamp5 PE=1 SV=1 - [VAMP5_MOUSE],42.16%,1,4,4,59,102,11.4,7.97
Q8BP01,Vimentin-type intermediate filament-associated coiled-coil protein OS=Mus musculus GN=Vmac PE=2 SV=1 - [VMAC_MOUSE],14.37%,2,2,3,6,174,19,5.39
Q8R0J7,Vacuolar protein sorting-associated protein 37B OS=Mus musculus GN=Vps37b PE=2 SV=1 - [VP37B_MOUSE],38.95%,1,7,7,17,285,31,7.05
Q9DB94,WD repeat-containing protein 53 OS=Mus musculus GN=Wdr53 PE=2 SV=1 - [WDR53_MOUSE],8.94%,7,1,2,3,358,38.6,7.09
A6PWY4,WD repeat-containing protein 76 OS=Mus musculus GN=Wdr76 PE=2 SV=1 - [WDR76_MOUSE],1.45%,1,1,1,1,622,69,9.36
O35188,Fractalkine OS=Mus musculus GN=Cx3cl1 PE=2 SV=3 - [X3CL1_MOUSE],2.78%,1,1,1,1,395,42.1,5.54
B7ZMP1,Probable Xaa-Pro aminopeptidase 3 OS=Mus musculus GN=Xpnpep3 PE=2 SV=1 - [XPP3_MOUSE],8.10%,2,2,2,2,506,56.6,7.68
Q99LW6,YY1-associated factor 2 OS=Mus musculus GN=Yaf2 PE=1 SV=1 - [YAF2_MOUSE],21.23%,1,2,3,13,179,19.6,9.58
Q8BQQ1,Probable palmitoyltransferase ZDHHC14 OS=Mus musculus GN=Zdhhc14 PE=2 SV=1 - [ZDH14_MOUSE],8.18%,2,3,3,5,489,53.6,8.05
Q9DCH6,AN1-type zinc finger protein 6 OS=Mus musculus GN=Zfand6 PE=1 SV=1 - [ZFAN6_MOUSE],31.84%,2,4,5,15,223,24,6.51
Q810J8,Zinc finger FYVE domain-containing protein 1 OS=Mus musculus GN=Zfyve1 PE=2 SV=2 - [ZFYV1_MOUSE],11.71%,1,7,7,15,777,86.9,7.34
Q9DB42,Zinc finger protein 593 OS=Mus musculus GN=Znf593 PE=2 SV=2 - [ZN593_MOUSE],32.84%,1,3,3,7,134,15.1,9.55
D3Z603,"28S ribosomal protein S18a, mitochondrial OS=Mus musculus GN=Mrps18a PE=4 SV=1 - [D3Z603_MOUSE]",10.74%,3,1,1,3,149,16.7,9.7
E0CYH0,"MCG16685, isoform CRA_d OS=Mus musculus GN=Wtap PE=4 SV=1 - [E0CYH0_MOUSE]",36.11%,4,13,13,42,396,44.2,5.25
Q8CEJ2,"MCG117705, isoform CRA_a OS=Mus musculus GN=Uxt PE=2 SV=1 - [Q8CEJ2_MOUSE]",21.02%,2,2,2,2,157,18.2,5.81
Q62347,Cyclic AMP-responsive element-binding protein 1 OS=Mus musculus GN=Creb1 PE=2 SV=1 - [Q62347_MOUSE],20.91%,15,3,5,38,287,30.9,6.37
J3QMX0,Ribonuclease P 14 subunit (Human) OS=Mus musculus GN=Rpp14 PE=4 SV=1 - [J3QMX0_MOUSE],29.75%,1,2,2,3,158,17.4,8.97
Q8BH76,DNA polymerase delta subunit 3 OS=Mus musculus GN=Pold3 PE=2 SV=1 - [Q8BH76_MOUSE],11.71%,2,4,4,13,461,50.7,9.32
I7HPY1,Novel protein OS=Mus musculus GN=Fam3a PE=4 SV=1 - [I7HPY1_MOUSE],13.54%,5,2,2,2,192,21.3,7.81
Q3UT49,Cytochrome P450 2C29 OS=Mus musculus GN=Cyp2c29 PE=1 SV=1 - [Q3UT49_MOUSE],1.33%,7,1,1,1,451,51.5,8.06
Q3UTR7,Angiotensinogen OS=Mus musculus GN=Agt PE=2 SV=1 - [Q3UTR7_MOUSE],3.53%,3,2,2,2,482,52.6,5.54
A0A087WR62,Amyloid beta A4 precursor protein-binding family B member 1 OS=Mus musculus GN=Apbb1 PE=4 SV=1 - [A0A087WR62_MOUSE],10.86%,8,2,4,9,451,50,6.29
G5E8Q5,DCN1-like protein OS=Mus musculus GN=Dcun1d2 PE=4 SV=1 - [G5E8Q5_MOUSE],25.89%,3,2,4,14,197,22.8,7.97
Q812G4,CASP8 and FADD-like apoptosis regulator OS=Mus musculus GN=Cflar PE=2 SV=1 - [Q812G4_MOUSE],10.81%,3,4,5,7,481,54.8,7.9
A2ALX6,"Rho GTPase activating protein 6, isoform CRA_c OS=Mus musculus GN=Arhgap6 PE=4 SV=1 - [A2ALX6_MOUSE]",2.04%,4,1,1,1,294,33.3,9.39
D3Z641,Tetraspanin OS=Mus musculus GN=Tspan5 PE=3 SV=1 - [D3Z641_MOUSE],25.38%,2,6,6,47,197,22.4,4.6
G5E8U3,E3 ubiquitin-protein ligase TTC3 OS=Mus musculus GN=Ttc3 PE=4 SV=1 - [G5E8U3_MOUSE],2.33%,8,1,1,2,300,35.3,6.46
J3QMK2,"MCG22959, isoform CRA_a OS=Mus musculus GN=Bbip1 PE=4 SV=1 - [J3QMK2_MOUSE]",14.93%,1,1,1,2,67,7.6,8.76
Q3LFS9,"CEA-related cell adhesion molecule 1, isoform 1/2L OS=Mus musculus GN=Ceacam1 PE=2 SV=2 - [Q3LFS9_MOUSE]",2.93%,4,1,1,1,341,37.2,6.23
Q9Z257,P2X purinoceptor OS=Mus musculus GN=P2rx4 PE=1 SV=1 - [Q9Z257_MOUSE],21.91%,5,8,8,19,388,43.5,7.99
G5E8S0,PHD finger protein 14 OS=Mus musculus GN=Phf14 PE=1 SV=1 - [G5E8S0_MOUSE],3.63%,2,3,3,3,881,99,5.34
Q3TYW3,Protein BC023829 OS=Mus musculus GN=BC023829 PE=2 SV=1 - [Q3TYW3_MOUSE],2.80%,3,1,1,1,322,37.2,7.2
Q9D6Z7,"Coiled-coil domain containing 82, isoform CRA_a OS=Mus musculus GN=Ccdc82 PE=2 SV=1 - [Q9D6Z7_MOUSE]",2.80%,2,1,1,4,322,37.4,4.81
E9PYF7,AP1AR OS=Mus musculus GN=Ap1ar PE=1 SV=1 - [E9PYF7_MOUSE],21.81%,1,4,4,5,298,33.8,4.87
G3UYT4,Protein BANP (Fragment) OS=Mus musculus GN=Banp PE=1 SV=3 - [G3UYT4_MOUSE],7.28%,3,2,2,4,261,28.6,7.33
A0A087WQU9,MAGUK p55 subfamily member 4 OS=Mus musculus GN=Mpp4 PE=4 SV=1 - [A0A087WQU9_MOUSE],1.18%,4,1,1,1,591,66.8,6.42
D3Z6I3,"Lipoyl synthase, mitochondrial OS=Mus musculus GN=Lias PE=3 SV=1 - [D3Z6I3_MOUSE]",3.11%,2,1,1,2,289,32.2,8.19
A2AVP4,Roquin-2 OS=Mus musculus GN=Rc3h2 PE=4 SV=1 - [A2AVP4_MOUSE],5.78%,4,5,5,5,1125,124.6,7.2
E9QJR0,Protein 4833403I15Rik OS=Mus musculus GN=4833403I15Rik PE=4 SV=1 - [E9QJR0_MOUSE],0.71%,1,1,1,6,991,113.2,5.47
D3Z723,Nuclear transcription factor Y subunit beta (Fragment) OS=Mus musculus GN=Nfyb PE=4 SV=1 - [D3Z723_MOUSE],23.58%,2,3,3,10,106,11.7,4.58
F6WM75,Coiled-coil domain-containing protein 167 (Fragment) OS=Mus musculus GN=Ccdc167 PE=4 SV=1 - [F6WM75_MOUSE],52.00%,3,2,2,6,50,5.7,5.4
B1AYL0,Sodium channel protein OS=Mus musculus GN=Scn9a PE=3 SV=1 - [B1AYL0_MOUSE],0.61%,4,1,1,1,1973,224.5,6.64
D3Z6P3,Protein ITFG3 (Fragment) OS=Mus musculus GN=Itfg3 PE=4 SV=3 - [D3Z6P3_MOUSE],9.71%,2,1,1,4,103,11.5,7.78
F6R8N2,Homeobox even-skipped homolog protein 1 OS=Mus musculus GN=Evx1 PE=4 SV=2 - [F6R8N2_MOUSE],13.93%,2,1,1,1,201,20.8,5.67
A2A5R8,Double-stranded RNA-binding protein Staufen homolog 1 OS=Mus musculus GN=Stau1 PE=4 SV=1 - [A2A5R8_MOUSE],29.48%,5,10,11,26,485,53.7,9.55
E0CY18,AN1-type zinc finger protein 2B (Fragment) OS=Mus musculus GN=Zfand2b PE=1 SV=1 - [E0CY18_MOUSE],33.49%,3,6,6,27,218,23.7,7.72
G3UXN4,KN motif and ankyrin repeat domain-containing protein 3 OS=Mus musculus GN=Kank3 PE=4 SV=1 - [G3UXN4_MOUSE],4.64%,3,2,3,9,603,64.3,4.84
B1AR09,Protein Mllt6 OS=Mus musculus GN=Mllt6 PE=4 SV=1 - [B1AR09_MOUSE],3.06%,2,3,3,7,1079,110.5,8.47
D6RCG7,Caspase-12 OS=Mus musculus GN=Casp12 PE=4 SV=1 - [D6RCG7_MOUSE],4.76%,2,1,1,4,231,26.2,5.24
F6UK66,Coiled-coil domain-containing protein 50 (Fragment) OS=Mus musculus GN=Ccdc50 PE=4 SV=1 - [F6UK66_MOUSE],42.97%,2,9,9,16,256,29.8,6.67
D3Z1J9,Leucine-rich repeat and IQ domain-containing protein 1 (Fragment) OS=Mus musculus GN=Lrriq1 PE=4 SV=1 - [D3Z1J9_MOUSE],2.69%,2,1,2,4,520,61.6,5.74
A0A087WSK5,UBX domain-containing protein 4 (Fragment) OS=Mus musculus GN=Ubxn4 PE=4 SV=1 - [A0A087WSK5_MOUSE],92.05%,1,1,3,6,88,9.3,4.46
F6UNQ3,Fer-1-like protein 4 (Fragment) OS=Mus musculus GN=Fer1l4 PE=4 SV=1 - [F6UNQ3_MOUSE],4.29%,7,1,1,6,140,15.4,4.97
E9Q6J5,Protein Bod1l OS=Mus musculus GN=Bod1l PE=1 SV=1 - [E9Q6J5_MOUSE],8.44%,1,13,16,23,3032,327.3,5.33
E9Q4S9,Transporter (Fragment) OS=Mus musculus GN=Slc6a17 PE=3 SV=1 - [E9Q4S9_MOUSE],11.21%,2,1,1,6,116,12.9,5.16
E9Q6U4,Prefoldin subunit 4 OS=Mus musculus GN=Pfdn4 PE=3 SV=1 - [E9Q6U4_MOUSE],45.38%,5,6,6,26,130,14.7,4.5
D3YVJ8,Retinol dehydrogenase 13 (Fragment) OS=Mus musculus GN=Rdh13 PE=4 SV=1 - [D3YVJ8_MOUSE],15.65%,2,1,2,4,115,12.5,9.28
J3QMK1,Protein Gm4975 OS=Mus musculus GN=Gm4975 PE=4 SV=1 - [J3QMK1_MOUSE],1.63%,1,1,3,9,1167,130.4,8.5
E9Q0W5,Protein FAM3C (Fragment) OS=Mus musculus GN=Fam3c PE=4 SV=1 - [E9Q0W5_MOUSE],36.84%,5,5,5,10,152,16.5,5.15
F8VQ70,Protein Scaper OS=Mus musculus GN=Scaper PE=4 SV=1 - [F8VQ70_MOUSE],4.01%,1,5,5,6,1398,157.7,7.31
E9Q7C4,Protein Prr14l OS=Mus musculus GN=Prr14l PE=4 SV=1 - [E9Q7C4_MOUSE],0.46%,1,1,1,2,1971,215.7,7.25
S4R1W5,Protein Rbm6 OS=Mus musculus GN=Rbm6 PE=1 SV=1 - [S4R1W5_MOUSE],21.56%,2,17,18,32,1118,128.3,6.16
D3YXD1,Ubiquitin-conjugating enzyme E2 E2 (Fragment) OS=Mus musculus GN=Ube2e2 PE=3 SV=2 - [D3YXD1_MOUSE],30.39%,8,1,4,13,181,19.8,8.31
F6YZ95,Liprin-beta-1 (Fragment) OS=Mus musculus GN=Ppfibp1 PE=1 SV=1 - [F6YZ95_MOUSE],44.04%,1,1,5,16,193,20.5,10.42
B2KFM4,Transcription factor SOX-5 OS=Mus musculus GN=Sox5 PE=4 SV=1 - [B2KFM4_MOUSE],5.89%,9,3,3,3,679,75.2,6.27
V9GX00,Interleukin-6 receptor subunit beta OS=Mus musculus GN=Il6st PE=1 SV=1 - [V9GX00_MOUSE],16.71%,5,9,9,13,856,95.3,5.55
E0CYM1,Filamin A-interacting protein 1-like OS=Mus musculus GN=Filip1l PE=1 SV=1 - [E0CYM1_MOUSE],3.70%,5,2,4,4,893,101.9,5.96
E9QB01,Neural cell adhesion molecule 1 OS=Mus musculus GN=Ncam1 PE=1 SV=1 - [E9QB01_MOUSE],11.32%,3,9,9,59,848,93.4,4.91
D3Z497,Uncharacterized protein OS=Mus musculus GN=Gm7075 PE=4 SV=1 - [D3Z497_MOUSE],8.04%,2,1,1,10,112,12.6,6.7
E0CYD6,Delta(14)-sterol reductase (Fragment) OS=Mus musculus GN=Tm7sf2 PE=4 SV=1 - [E0CYD6_MOUSE],14.21%,4,2,2,4,197,22.4,6.37
D3Z2J4,AKT-interacting protein (Fragment) OS=Mus musculus GN=Aktip PE=4 SV=1 - [D3Z2J4_MOUSE],27.11%,3,5,5,7,273,30.8,9.28
D3Z3H0,Protein Ino80e OS=Mus musculus GN=Ino80e PE=4 SV=1 - [D3Z3H0_MOUSE],9.43%,3,1,2,2,244,26.4,6.61
A2A4A1,DnaJ homolog subfamily C member 24 OS=Mus musculus GN=Dnajc24 PE=4 SV=1 - [A2A4A1_MOUSE],37.16%,3,4,4,9,148,16.9,4.92
E9PYQ0,Protein Rsph10b OS=Mus musculus GN=Rsph10b PE=4 SV=1 - [E9PYQ0_MOUSE],3.65%,2,1,2,2,876,101.5,6.84
D3YUK3,Disintegrin and metalloproteinase domain-containing protein 12 (Fragment) OS=Mus musculus GN=Adam12 PE=4 SV=1 - [D3YUK3_MOUSE],3.57%,3,1,1,3,168,18.5,5.69
A2A934,PR domain zinc finger protein 16 OS=Mus musculus GN=Prdm16 PE=4 SV=1 - [A2A934_MOUSE],1.27%,6,1,2,13,1177,130.3,6.27
D3YVU1,Ubiquitin carboxyl-terminal hydrolase 16 OS=Mus musculus GN=Usp16 PE=1 SV=1 - [D3YVU1_MOUSE],3.98%,4,2,2,5,754,85.3,6.35
J3QP71,Basigin (Fragment) OS=Mus musculus GN=Bsg PE=4 SV=1 - [J3QP71_MOUSE],29.44%,3,5,5,9,197,21.7,6.2
D3Z4D1,Protein JTB OS=Mus musculus GN=Jtb PE=4 SV=1 - [D3Z4D1_MOUSE],13.68%,2,1,1,2,95,10.5,7.55
A3KGV9,Outer dense fiber protein 2 OS=Mus musculus GN=Odf2 PE=4 SV=1 - [A3KGV9_MOUSE],8.68%,5,4,5,9,657,75.5,7.74
D3Z183,Major facilitator superfamily domain-containing protein 6 OS=Mus musculus GN=Mfsd6 PE=1 SV=1 - [D3Z183_MOUSE],1.76%,1,1,1,1,794,87.8,5.71
E9Q638,Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus GN=Adam9 PE=4 SV=1 - [E9Q638_MOUSE],8.80%,2,6,6,10,841,91.8,7.37
H7BX26,Centrosomal protein of 170 kDa OS=Mus musculus GN=Cep170 PE=1 SV=1 - [H7BX26_MOUSE],9.95%,3,12,13,20,1578,173.8,7.2
D3YY07,Palmitoyltransferase (Fragment) OS=Mus musculus GN=Zdhhc13 PE=3 SV=1 - [D3YY07_MOUSE],2.71%,2,1,1,3,442,50.7,8.44
A2AG51,MAP7 domain-containing protein 2 (Fragment) OS=Mus musculus GN=Map7d2 PE=1 SV=2 - [A2AG51_MOUSE],3.48%,3,1,2,5,402,45.4,9.44
F6RWW8,Myelin basic protein (Fragment) OS=Mus musculus GN=Mbp PE=1 SV=1 - [F6RWW8_MOUSE],9.33%,7,1,1,1,150,16.5,10.84
F8WIA3,Protein Gm20604 OS=Mus musculus GN=Gm20604 PE=4 SV=1 - [F8WIA3_MOUSE],28.00%,4,1,1,8,75,7.9,4.09
A0A075B5Y8,Protein Tcrg-V6 OS=Mus musculus GN=Tcrg-V6 PE=4 SV=1 - [A0A075B5Y8_MOUSE],5.22%,1,1,1,1,134,15.4,8.44
A0A087WP87,E3 ubiquitin-protein ligase RING2 (Fragment) OS=Mus musculus GN=Rnf2 PE=4 SV=1 - [A0A087WP87_MOUSE],19.43%,1,1,5,16,211,23.2,8.16
B1AVF2,TSC22 domain family protein 3 OS=Mus musculus GN=Tsc22d3 PE=4 SV=1 - [B1AVF2_MOUSE],40.71%,4,2,4,19,113,12.6,4.68
I7HJQ8,CD99 antigen-like protein 2 OS=Mus musculus GN=Cd99l2 PE=4 SV=1 - [I7HJQ8_MOUSE],25.79%,3,4,4,21,190,20.1,4.44
A0A087WRM2,Integral membrane protein 2C OS=Mus musculus GN=Itm2c PE=4 SV=1 - [A0A087WRM2_MOUSE],9.48%,2,1,1,1,232,26.2,8.9
E9PWY8,Myocardial zonula adherens protein (Fragment) OS=Mus musculus GN=Myzap PE=4 SV=3 - [E9PWY8_MOUSE],67.02%,1,2,6,36,94,10.4,9.88
F6U6U5,Serine/threonine-protein kinase SIK3 (Fragment) OS=Mus musculus GN=Sik3 PE=1 SV=1 - [F6U6U5_MOUSE],7.50%,5,8,8,13,1214,134.8,6.81
Q9JKX4,Protein AATF OS=Mus musculus GN=Aatf PE=1 SV=1 - [AATF_MOUSE],19.01%,1,6,6,15,526,59.4,4.93
